,Time,Open,High,Low,Close,Volume
0,2020-06-29 23:09:00,9179.68,9181.83,9179.22,9179.47,8.315255
1,2020-06-29 23:10:00,9179.22,9179.9,9167.34,9167.57,49.575562
2,2020-06-29 23:11:00,9167.51,9178.01,9164.79,9174.37,86.680926
3,2020-06-29 23:12:00,9174.16,9175.66,9173.18,9173.64,18.166126
4,2020-06-29 23:13:00,9173.64,9176.98,9172.93,9175.68,18.719268
5,2020-06-29 23:14:00,9175.43,9182.35,9175.42,9178.52,38.245622
6,2020-06-29 23:15:00,9178.45,9179.93,9161.09,9179.87,61.927846
7,2020-06-29 23:16:00,9179.75,9179.75,9171.5,9174.45,15.516456
8,2020-06-29 23:17:00,9174.45,9181.29,9172.57,9180.48,13.283163
9,2020-06-29 23:18:00,9180.48,9183.88,9180.0,9182.89,13.757424
10,2020-06-29 23:19:00,9183.02,9184.52,9174.98,9181.31,20.908277
11,2020-06-29 23:20:00,9181.82,9182.98,9180.36,9180.81,7.532956
12,2020-06-29 23:21:00,9180.8,9182.49,9180.24,9182.42,7.325576
13,2020-06-29 23:22:00,9182.49,9188.15,9181.59,9186.76,15.251307
14,2020-06-29 23:23:00,9187.31,9187.4,9183.3,9184.9,5.058004
15,2020-06-29 23:24:00,9184.91,9184.91,9183.0,9183.98,5.744183
16,2020-06-29 23:25:00,9183.63,9187.34,9183.63,9186.67,16.52134
17,2020-06-29 23:26:00,9186.12,9187.01,9183.01,9184.02,10.297773
18,2020-06-29 23:27:00,9184.01,9184.57,9178.23,9179.23,11.088225
19,2020-06-29 23:28:00,9179.2,9180.52,9177.18,9180.42,4.375152
20,2020-06-29 23:29:00,9180.18,9180.19,9179.66,9179.7,1.671412
21,2020-06-29 23:30:00,9179.71,9188.5,9179.33,9187.81,31.100008
22,2020-06-29 23:31:00,9187.81,9188.5,9183.99,9183.99,21.951883
23,2020-06-29 23:32:00,9183.99,9186.56,9183.98,9186.0,5.140632
24,2020-06-29 23:33:00,9186.01,9195.49,9185.99,9194.63,34.04164
25,2020-06-29 23:34:00,9193.91,9195.1,9188.88,9189.71,4.755584
26,2020-06-29 23:35:00,9189.52,9190.02,9185.47,9186.2,8.192187
27,2020-06-29 23:36:00,9185.92,9190.11,9184.76,9185.84,17.821
28,2020-06-29 23:37:00,9186.02,9186.02,9185.82,9185.84,3.682254
29,2020-06-29 23:38:00,9185.84,9188.5,9185.0,9186.53,10.470146
30,2020-06-29 23:39:00,9186.5,9189.48,9186.5,9189.48,15.558956
31,2020-06-29 23:40:00,9189.35,9190.81,9189.01,9189.26,12.271527
