,Short-term MA (MA10),Short-term EMA (EMA10),Medium-term EMA (EMA20),Long-term EMA (EMA50)
0,,6528.88,6528.88,6528.88
1,,6561.615999999999,6560.128000000001,6559.235199999999
2,,6573.070398671096,6571.1372106577855,6569.941153179575
3,,6575.74874009901,6574.042182356609,6572.926953438624
4,,6569.364602654851,6569.075622169626,6568.726806720165
5,,6568.360831854983,6568.321329216969,6568.1338215693495
6,,6558.657179096154,6560.71458066027,6561.7044196058605
7,,6554.100899335344,6556.897149922763,6558.400517346447
8,,6543.548800893398,6548.668836244317,6551.552296991899
9,6546.985,6532.285841206326,6539.823276468199,6544.223071909712
10,6528.5470000000005,6493.923541535522,6511.952046362983,6522.222377580583
11,6502.794000000001,6461.345742357823,6487.2835733337415,6502.540036830257
12,6480.976000000001,6443.796181575596,6472.1879398138635,6489.909454781467
13,6463.856000000002,6437.257520967276,6464.329731394764,6482.601948688021
14,6451.903,6436.6307135409015,6460.610430951008,6478.376313288308
15,6434.062000000001,6427.244804411771,6451.840161083741,6470.803947592071
16,6429.838000000002,6438.263867570079,6455.801914274966,6471.999745428976
17,6422.8740000000025,6444.005435550329,6457.306207104617,6471.769800949102
18,6424.225000000002,6457.9692364268585,6464.225561051887,6475.256924815702
19,6433.078000000002,6480.279836107729,6476.804576899296,6482.605826189258
20,6446.612000000003,6480.1986657333055,6477.133924980262,6482.414982354732
21,6455.524000000003,6469.117582034546,6471.014880723944,6478.2322013514995
22,6461.636000000002,6462.494282654251,6466.997135818864,6475.28662678762
23,6465.617000000003,6460.169220308679,6465.197316534324,6473.667776467405
24,6467.526000000003,6458.869843424059,6463.939283611938,6472.390024552421
25,6474.583000000003,6458.6486728826685,6463.293387576416,6471.49665449486
26,6418.239000000003,6360.716350871733,6408.07827648787,6438.893581376995
27,6346.680000000004,6249.893010754624,6341.700978200446,6398.995480234337
28,6260.363000000003,6141.579947067549,6272.597293169429,6356.552966202848
29,6165.346000000003,6048.027227418676,6208.028017683148,6315.687016312937
30,6083.562000000003,5977.700672727303,6153.578793159413,6279.6154014013655
31,5932.5660000000025,5783.262522043122,6030.126821687129,6205.226930839361
32,5745.147000000003,5560.3472729071245,5884.655485156995,6117.135272317572
33,5566.273000000003,5396.664118171614,5764.112003276217,6040.323741709568
34,5357.966000000002,5209.8314983026485,5627.217637448711,5953.386357258673
35,5154.261000000003,5066.232028675841,5509.0844699894,5874.61885682968
36,4955.264000000003,4859.965032487572,5355.133375165059,5776.0130010776265
37,4788.502000000002,4719.135412650298,5231.485231720013,5691.1788852773225
38,4609.128000000002,4563.2667580084,5098.391803642393,5600.377558313298
39,4433.8200000000015,4438.124660054561,4979.7322155776565,5515.614141150923
40,4294.105000000001,4406.611756037367,4910.5048311401315,5454.763299620171
41,4232.6860000000015,4386.467032690745,4851.0772914197905,5398.9076127974095
42,4180.932000000002,4323.701799802138,4772.900604279112,5334.059432399463
43,4133.827000000001,4299.392460351858,4716.700709668668,5279.8752119653445
44,4112.928000000002,4274.22899992271,4663.185513345754,5227.311508654916
45,4059.2680000000014,4203.273139319255,4588.227745498593,5164.690085015842
46,4061.188000000001,4157.517991845251,4527.046055224141,5108.5561590782045
47,4029.594000000002,4087.0264611879184,4454.335193189236,5047.041286588433
48,3994.249000000002,3981.87964436883,4363.606599774125,4976.828687077583
49,3947.0830000000024,3876.724183329644,4271.554981787268,4905.477761185412
50,3861.6910000000025,3792.0312896134255,4189.090065538372,4838.110787139671
51,3786.644000000003,3747.182464330485,4127.444795178458,4780.179739249678
52,3725.800000000003,3690.035187568347,4060.9653934691632,4720.1398010979565
53,3644.8370000000023,3633.7349549106416,3995.8559395415687,4660.753876931034
54,3573.236000000002,3599.418956184483,3943.1791771294456,4607.138212098029
55,3515.041000000002,3545.3529793675643,3881.894642709432,4549.863069626053
56,3442.2940000000017,3486.955444761674,3819.044905514232,4491.953692195152
57,3386.4820000000022,3436.912195423385,3761.029642105451,4436.278767509838
58,3358.474000000002,3399.049704956631,3710.1901358852174,4383.985580342813
59,3369.027000000002,3419.0553312168904,3690.989433558538,4346.253693467927
60,3393.2320000000022,3461.5872945558303,3687.3613916082472,4316.4714923762
61,3404.917000000002,3498.0661123948134,3684.9621293534533,4288.4704488381285
62,3466.5910000000026,3598.3489615785443,3719.7550056457007,4278.28448099455
63,3512.4180000000024,3642.041993213417,3731.0980375188865,4259.600432818898
64,3562.8090000000025,3697.8362969992036,3751.873099007471,4246.43930944842
65,3625.574000000003,3739.9952267313483,3768.8328915458437,4233.064440579586
66,3703.9580000000033,3788.725256096121,3791.6395802656602,4223.589367499504
67,3757.365000000003,3780.9188366447347,3787.268112294558,4203.531296100857
68,3812.272000000003,3780.3408657852333,3786.3597628635207,4185.705806669924
69,3818.1550000000034,3741.717041362275,3765.5361454723707,4159.910491021225
70,3836.783000000003,3759.4521362634896,3772.5632287769517,4146.556013166779
71,3840.093000000003,3747.791741658953,3765.2012673908393,4127.808500179479
72,3815.3220000000024,3757.6314292694997,3768.6996861259686,4114.299880858077
73,3801.746000000002,3747.680256773381,3762.4292401229745,4097.28521881915
74,3786.569000000002,3756.6729399759693,3765.736844747279,4084.898359354131
75,3779.4540000000015,3775.197864389369,3774.5815436029843,4075.5766217187493
76,3755.331000000001,3773.667343293261,3773.83820500258,4062.883838990874
77,3759.9530000000013,3777.0023723167515,3775.5695569376394,4051.7708202046615
78,3759.2750000000015,3775.9037590250387,3775.1303897665825,4040.2709460649553
79,3801.2440000000015,3814.3939887620695,3795.372335971208,4038.1176845327473
80,3814.863000000001,3843.6769024515866,3812.527761947784,4035.56000277027
81,3840.844000000001,3863.9411034526656,3826.1126331627265,4032.2826166210075
82,3857.3180000000007,3882.6154493703434,3839.5004484200917,4029.612291436869
83,3845.6160000000004,3828.663546906179,3815.3407252199027,4011.5851274284655
84,3826.0330000000004,3787.326536761289,3794.9527276388167,3994.940678891438
85,3798.4900000000002,3750.199892525907,3774.775446342927,3978.256513362575
86,3769.493,3700.492638038148,3746.3930908946427,3957.967172168471
87,3752.9010000000003,3686.9648853778344,3734.9339390326163,3944.555592226738
88,3731.111,3662.6185421552186,3717.610266233661,3928.7536485069368
89,3691.535,3649.7497161243036,3705.63067830443,3915.170381291981
90,3655.611,3643.651585848348,3697.1134793437436,3903.1305236887
91,3619.5850000000005,3634.782206518065,3687.3750286794543,3890.729231703721
92,3589.4500000000007,3640.3308962856267,3685.272454255663,3881.6694234732363
93,3584.790000000001,3621.9580059338277,3671.3672696886856,3867.9224671622515
94,3577.349000000001,3604.6747320368204,3657.6074602860867,3854.24317581783
95,3576.1290000000017,3598.5393261855547,3649.351909392261,3842.8889366556605
96,3583.730000000002,3590.226721395292,3640.1578353099962,3831.273949248128
97,3578.0830000000014,3586.4800447671782,3633.439576729211,3820.805411369379
98,3579.306000000002,3582.627309345888,3626.9488178582196,3810.590575386165
99,3576.6470000000018,3579.467798549637,3621.0724753987142,3800.789967693139
100,3570.1100000000015,3574.2627442596768,3614.3833957399765,3790.8125249779196
101,3554.0380000000014,3548.787699815957,3597.2176777847662,3776.5853445812163
102,3528.612000000001,3523.7426634593435,3579.4858791060287,3762.0136530029386
103,3520.5020000000013,3511.822179183712,3567.9325896820365,3749.909800994905
104,3511.2220000000007,3497.690873867596,3555.186280834173,3737.336667100442
105,3500.3360000000007,3491.2143513424703,3546.3178445920053,3726.3841861718693
106,3495.5310000000004,3493.6790147359143,3542.360818594021,3717.571512522529
107,3484.38,3487.2119211450627,3534.336768891011,3707.2594814284207
108,3474.1730000000002,3482.849753662761,3527.563619394116,3697.565504296558
109,3464.8070000000007,3480.802525723547,3522.2327102778318,3688.593633728104
110,3450.2600000000007,3467.087521043631,3511.10276169821,3677.354324847633
111,3446.6850000000004,3454.598880851714,3500.369019936279,3666.289613516304
112,3471.4850000000006,3491.769993429405,3515.48072706807,3666.002187039434
113,3492.1850000000004,3523.2990855368107,3529.737958785822,3665.9696037291706
114,3516.7810000000004,3551.8010699873707,3544.054487305857,3666.527775498787
115,3533.679000000001,3566.209966354423,3552.3398494417806,3665.122931015089
116,3546.348000000001,3578.0736088361914,3559.8751637651435,3663.7904597687143
117,3561.477000000001,3583.769316320817,3564.5918498848946,3661.638325979003
118,3574.2110000000007,3585.0039860807206,3567.065023666601,3658.826874130855
119,3587.2990000000004,3588.1796249752456,3570.4369466859007,3656.5984731956396
120,3608.6030000000005,3593.676056798084,3575.005834051862,3655.088957894363
121,3635.5210000000006,3607.113137380564,3583.8224651873948,3655.5825500698215
122,3659.4770000000003,3660.1107487669265,3613.8014130895845,3665.182672733434
123,3683.7380000000003,3705.143339900916,3641.8004402579086,3674.7638331215
124,3712.7060000000006,3753.251823555909,3673.032894465557,3686.4099445125253
125,3743.332,3786.7169465460934,3698.2022265952533,3696.3132306782277
126,3776.386,3818.586592628895,3723.3258999096547,3706.797486624016
127,3827.222,3872.9817576058404,3760.891154906341,3723.010486742694
128,3842.522,3849.450528950099,3759.2405646456805,3723.82100053303
129,3865.067,3845.53588732279,3765.7814778759316,3727.925943722178
130,3884.1490000000003,3838.934816900439,3769.9194407350037,3731.131315511195
131,3899.1980000000003,3835.14121382762,3774.505216677515,3734.5581141381344
132,3890.707000000001,3831.240993131679,3778.2371069835103,3737.6765723748995
133,3882.2280000000005,3829.742630744098,3782.500246039183,3741.0383814001466
134,3867.2470000000008,3827.95851606335,3786.0649893440054,3744.1461969601664
135,3854.291000000001,3824.284240415463,3788.130230987108,3746.651326831099
136,3829.6210000000015,3804.4689239762647,3781.194010815122,3745.4167193086173
137,3803.6180000000013,3814.152755980589,3788.4831599605686,3749.8388630880745
138,3815.446000000002,3822.823163984125,3795.469532024905,3754.2480218229894
139,3820.0180000000023,3832.0625887142896,3802.9143446173885,3758.9474249615696
140,3825.5840000000017,3838.031208948058,3808.8167923761985,3763.1168379850506
141,3838.081000000002,3857.1237164120557,3821.5999636072675,3770.196797816222
142,3848.3940000000016,3867.977586155322,3830.6685440218903,3775.9656329975646
143,3853.255000000002,3868.638025036173,3834.5677324529265,3779.7282397773215
144,3859.535000000002,3871.2002023023238,3839.154617362016,3783.7797812710924
145,3865.360000000002,3870.2547109746283,3841.711321623023,3787.0135026373914
146,3881.542000000002,3871.502945342878,3845.0835780820544,3790.556986282183
147,3888.145000000002,3881.004228007811,3852.576573410908,3795.794687054316
148,3902.5590000000025,3903.727095642757,3867.1864284404273,3804.0585514493296
149,3913.3090000000025,3917.802169162257,3878.0391528199107,3811.0201642910315
150,3925.6010000000024,3930.5308656782117,3888.49352207546,3817.969636275102
151,3932.850000000002,3945.9852537367196,3900.5922372506957,3825.734855310417
152,3945.4720000000025,3963.6315712391356,3914.158693881263,3834.2753863531725
153,3956.3750000000023,3966.72401283202,3920.490248126673,3840.0273146759446
154,3966.795000000002,3970.3978286807437,3926.8178447021082,3845.7999096948897
155,3980.796000000002,3976.8727689206085,3934.3599559802915,3852.0949224892947
156,3992.302000000002,3979.6559018441344,3939.8666276649215,3857.5987571957976
157,3993.538000000002,3971.740283327019,3939.509805934145,3860.6835694291913
158,3987.795000000002,3967.523868176652,3940.3707769032276,3864.1352760099708
159,3993.486000000002,3980.3468012354424,3949.6735610883047,3870.966802552741
160,3997.486000000002,3988.9764737380897,3957.1151274465733,3877.127342462037
161,4006.2580000000025,4009.753478512983,3971.0327356215157,3886.008507918856
162,4012.6510000000026,4027.429209692441,3983.979142817534,3894.6864417588095
163,4024.9820000000022,4041.3420806574522,3995.404939589857,3902.9044814369886
164,4040.7450000000017,4060.1089750833708,4009.610184394775,3912.3940664096094
165,4125.873000000001,4205.050979613668,4090.341600322218,3949.4972608638977
