,Time,Open,High,Low,Close,Volume
0,1501545600000,4261.48,4745.42,3400.0,4724.89,10015.640272
1,1504224000000,4689.89,4939.19,2817.0,4378.51,27634.18912
2,1506816000000,4378.49,6498.01,4110.0,6463.0,41626.388463
3,1509494400000,6463.0,11300.03,5325.01,9838.96,108487.978119
4,1512086400000,9837.0,19798.68,9380.0,13716.36,408476.658399
5,1514764800000,13715.65,17176.24,9035.0,10285.1,816675.564467
6,1517443200000,10285.1,11786.01,6000.01,10326.76,1243940.85531
7,1519862400000,10325.64,11710.0,6600.1,6923.91,1235326.31402
8,1522540800000,6922.0,9759.82,6430.0,9246.01,1110964.015581
9,1525132800000,9246.01,10020.0,7032.95,7485.01,914476.377885
10,1527811200000,7485.01,7786.69,5750.0,6390.07,942249.765944
11,1530403200000,6391.08,8491.77,6070.0,7730.93,1102510.436786
12,1533081600000,7735.67,7750.0,5880.0,7011.21,1408159.816556
13,1535760000000,7011.21,7410.0,6111.0,6626.57,1100653.423315
14,1538352000000,6626.57,7680.0,6205.0,6371.93,629922.086219
15,1541030400000,6369.52,6615.15,3652.66,4041.32,1210365.449617
16,1543622400000,4041.27,4312.99,3156.26,3702.9,1591229.147171
17,1546300800000,3701.23,4069.8,3349.92,3434.1,908244.14054
18,1548979200000,3434.1,4198.0,3373.1,3813.69,861783.986727
19,1551398400000,3814.26,4140.0,3670.69,4103.95,787190.48925
20,1554076800000,4102.44,5600.0,4067.0,5320.81,1126961.315101
21,1556668800000,5321.94,9074.26,5316.2,8555.0,1498409.89023
22,1559347200000,8555.0,13970.0,7444.58,10854.1,1689489.647326
23,1561939200000,10854.1,13147.08,9060.0,10080.53,1886176.065915
24,1564617600000,10080.53,12330.7,9320.0,9587.47,1201961.576316
25,1567296000000,9588.74,10905.87,7710.0,8289.34,1116856.475836
26,1569888000000,8289.97,10370.0,7300.0,9140.85,1446755.854716
27,1572566400000,9140.86,9513.68,6515.0,7541.89,1499118.774995
28,1575158400000,7540.63,7750.0,6435.0,7195.23,1307026.46794
29,1577836800000,7195.24,9578.0,6871.04,9352.89,1691323.137782
30,1580515200000,9351.71,10500.0,9093.01,9169.62,1351077.275341
